date,day_of_week,time
4/22/2022,6,
4/23/2022,7,43
4/24/2022,1,23
4/25/2022,2,93
4/26/2022,3,15
4/27/2022,4,29
4/28/2022,5,17
4/29/2022,6,35
4/30/2022,7,
5/1/2022,1,213
5/2/2022,2,50
5/3/2022,3,33
5/4/2022,4,
5/5/2022,5,26
5/6/2022,6,27
5/7/2022,7,72
5/8/2022,1,21
5/9/2022,2,17
5/10/2022,3,21
5/11/2022,4,33
5/12/2022,5,27
5/13/2022,6,23
5/14/2022,7,82
5/15/2022,1,44
5/16/2022,2,62
5/17/2022,3,33
5/18/2022,4,29
5/19/2022,5,30
5/20/2022,6,27
5/21/2022,7,31
5/22/2022,1,52
5/23/2022,2,167
5/24/2022,3,25
5/25/2022,4,15
5/26/2022,5,28
5/27/2022,6,13
5/28/2022,7,47
5/29/2022,1,22
5/30/2022,2,23
5/31/2022,3,36
6/1/2022,4,46
6/2/2022,5,28
6/3/2022,6,36
6/4/2022,7,184
6/5/2022,1,27
6/6/2022,2,32
6/7/2022,3,38
6/8/2022,4,42
6/9/2022,5,26
6/10/2022,6,24
6/11/2022,7,53
6/12/2022,1,29
6/13/2022,2,36
6/14/2022,3,23
6/15/2022,4,
6/16/2022,5,18
6/17/2022,6,62
6/18/2022,7,70
6/19/2022,1,23
6/20/2022,2,33
6/21/2022,3,28
6/22/2022,4,32
6/23/2022,5,26
6/24/2022,6,74
6/25/2022,7,62
6/26/2022,1,24
6/27/2022,2,
6/28/2022,3,30
6/29/2022,4,31
6/30/2022,5,28
7/1/2022,6,43
7/2/2022,7,419
7/3/2022,1,57
7/4/2022,2,37
7/5/2022,3,29
7/6/2022,4,21
7/7/2022,5,11
7/8/2022,6,24
7/9/2022,7,58
7/10/2022,1,24
7/11/2022,2,43
7/12/2022,3,36
7/13/2022,4,17
7/14/2022,5,54
7/15/2022,6,23
7/16/2022,7,40
7/17/2022,1,27
7/18/2022,2,26
7/19/2022,3,18
7/20/2022,4,29
7/21/2022,5,20
7/22/2022,6,38
7/23/2022,7,
7/24/2022,1,25
7/25/2022,2,34
7/26/2022,3,23
7/27/2022,4,55
7/28/2022,5,25
7/29/2022,6,44
7/30/2022,7,
7/31/2022,1,15
8/1/2022,2,16
8/2/2022,3,42
8/3/2022,4,41
8/4/2022,5,16
8/5/2022,6,104
8/6/2022,7,139
8/7/2022,1,51
8/8/2022,2,15
8/9/2022,3,42
8/10/2022,4,
8/11/2022,5,40
8/12/2022,6,39
8/13/2022,7,87
8/14/2022,1,23
8/15/2022,2,30
8/16/2022,3,26
8/17/2022,4,
8/18/2022,5,24
8/19/2022,6,32
8/20/2022,7,42
8/21/2022,1,24
8/22/2022,2,21
8/23/2022,3,23
8/24/2022,4,52
8/25/2022,5,23
8/26/2022,6,16
8/27/2022,7,56
8/28/2022,1,80
8/29/2022,2,36
8/30/2022,3,15
8/31/2022,4,35
9/1/2022,5,
9/2/2022,6,19
9/3/2022,7,64
9/4/2022,1,18
9/5/2022,2,43
9/6/2022,3,34
9/7/2022,4,26
9/8/2022,5,37
9/9/2022,6,39
9/10/2022,7,
9/11/2022,1,173
9/12/2022,2,20
9/13/2022,3,36
9/14/2022,4,21
9/15/2022,5,32
9/16/2022,6,29
9/17/2022,7,94
9/18/2022,1,27
9/19/2022,2,29
9/20/2022,3,87
9/21/2022,4,55
9/22/2022,5,16
9/23/2022,6,28
9/24/2022,7,36
9/25/2022,1,41
9/26/2022,2,86
9/27/2022,3,15
9/28/2022,4,18
9/29/2022,5,49
9/30/2022,6,25
10/1/2022,7,94
10/2/2022,1,24
10/3/2022,2,19
10/4/2022,3,45
10/5/2022,4,32
10/6/2022,5,34
10/7/2022,6,60
10/8/2022,7,89
10/9/2022,1,286
10/10/2022,2,40
10/11/2022,3,25
10/12/2022,4,103
10/13/2022,5,31
10/14/2022,6,23
10/15/2022,7,108
10/16/2022,1,11
10/17/2022,2,25
10/18/2022,3,32
10/19/2022,4,24
10/20/2022,5,29
10/21/2022,6,70
10/22/2022,7,147
10/23/2022,1,23
10/24/2022,2,27
10/25/2022,3,20
10/26/2022,4,22
10/27/2022,5,35
10/28/2022,6,25
10/29/2022,7,79
10/30/2022,1,31
10/31/2022,2,32
11/1/2022,3,31
11/2/2022,4,36
11/3/2022,5,15
11/4/2022,6,
11/5/2022,7,64
11/6/2022,1,22
11/7/2022,2,28
11/8/2022,3,20
11/9/2022,4,33
11/10/2022,5,26
11/11/2022,6,32
11/12/2022,7,31
11/13/2022,1,20
11/14/2022,2,32
11/15/2022,3,21
11/16/2022,4,35
11/17/2022,5,19
11/18/2022,6,
11/19/2022,7,211
11/20/2022,1,43
11/21/2022,2,75
11/22/2022,3,28
11/23/2022,4,31
11/24/2022,5,27
11/25/2022,6,78
11/26/2022,7,
11/27/2022,1,43
11/28/2022,2,28
11/29/2022,3,27
11/30/2022,4,37
12/1/2022,5,23
12/2/2022,6,19
12/3/2022,7,82
12/4/2022,1,44
12/5/2022,2,
12/6/2022,3,17
12/7/2022,4,24
12/8/2022,5,35
12/9/2022,6,47
12/10/2022,7,
12/11/2022,1,22
12/12/2022,2,40
12/13/2022,3,23
12/14/2022,4,18
12/15/2022,5,20
12/16/2022,6,38
12/17/2022,7,39
12/18/2022,1,24
12/19/2022,2,40
12/20/2022,3,
12/21/2022,4,27
12/22/2022,5,
12/23/2022,6,65
12/24/2022,7,72
12/25/2022,1,41
12/26/2022,2,21
12/27/2022,3,28
12/28/2022,4,40
12/29/2022,5,
12/30/2022,6,23
12/31/2022,7,50
1/1/2023,1,22
1/2/2023,2,57
1/3/2023,3,33
1/4/2023,4,17
1/5/2023,5,31
1/6/2023,6,34
1/7/2023,7,62
1/8/2023,1,34
1/9/2023,2,40
1/10/2023,3,152
1/11/2023,4,30
1/12/2023,5,31
1/13/2023,6,31
1/14/2023,7,53
1/15/2023,1,27
1/16/2023,2,26
1/17/2023,3,28
1/18/2023,4,36
1/19/2023,5,21
1/20/2023,6,19
1/21/2023,7,91
1/22/2023,1,19
1/23/2023,2,87
1/24/2023,3,20
1/25/2023,4,27
1/26/2023,5,13
1/27/2023,6,39
1/28/2023,7,48
1/29/2023,1,40
1/30/2023,2,29
1/31/2023,3,27
2/1/2023,4,35
2/2/2023,5,22
2/3/2023,6,40
2/4/2023,7,404
2/5/2023,1,123
2/6/2023,2,20
2/7/2023,3,55
2/8/2023,4,16
2/9/2023,5,38
2/10/2023,6,28
2/11/2023,7,48
2/12/2023,1,46
2/13/2023,2,28
2/14/2023,3,15
2/15/2023,4,24
2/16/2023,5,23
2/17/2023,6,19
2/18/2023,7,49
2/19/2023,1,16
2/20/2023,2,19
2/21/2023,3,22
2/22/2023,4,19
2/23/2023,5,29
2/24/2023,6,22
2/25/2023,7,43
2/26/2023,1,23
2/27/2023,2,47
2/28/2023,3,230
3/1/2023,4,
3/2/2023,5,27
3/3/2023,6,26
3/4/2023,7,199
3/5/2023,1,12
3/6/2023,2,18
3/7/2023,3,
3/8/2023,4,
3/9/2023,5,
3/10/2023,6,
3/11/2023,7,127
3/12/2023,1,44
3/13/2023,2,25
3/14/2023,3,21
3/15/2023,4,21
3/16/2023,5,20
3/17/2023,6,31
3/18/2023,7,19
